number	book
1	Ge.
1	Gen.
1	GEN.
1	Genesis
1	Gn.
2	Ex.
2	Exo.
2	EXO.
2	Exod.
2	Exodus
3	Le.
3	Lev.
3	LEV.
3	Leviticus
3	Lv.
4	Nb.
4	Nm.
4	Nu.
4	Num.
4	NUM.
4	Numbers
5	De.
5	Deu.
5	DEU.
5	Deut.
5	Deuteronomy
5	Dt.
6	Jos.
6	JOS.
6	Josh.
6	JoshA.
6	Joshua
6	Jsa.
6	JSA.
6	Jsh.
7	Jdb.
7	JDB.
7	Jdg.
7	JDG.
7	Jdgs.
7	Jg.
7	Judg.
7	JudgB.
7	Judges
8	Rth.
8	Ru.
8	Rut.
8	RUT.
8	Ruth
9	1 S.
9	1 Sa.
9	1 Sam.
9	1 Samuel
9	1 Sm.
9	1S.
9	1Sa.
9	1SA.
9	1Sam.
9	1st Sam.
9	1st Samuel
9	First Sam.
9	First Samuel
9	I Sa.
9	I Sam.
10	2 S.
10	2 Sa.
10	2 Sam.
10	2 Samuel
10	2 Sm.
10	2nd Sam.
10	2nd Samuel
10	2S.
10	2Sa.
10	2SA.
10	2Sam.
10	II Sa.
10	II Sam.
10	Second Sam.
10	Second Samuel
11	1 Kgs.
11	1 Ki.
11	1 Kings
11	1K.
11	1Kgs.
11	1Ki.
11	1KI.
11	1Kin.
11	1st Kgs.
11	1st Kings
11	First Kgs.
11	First Kings
11	I Kgs.
11	I Ki.
12	2 Kgs.
12	2 Ki.
12	2 Kings
12	2K.
12	2Kgs.
12	2Ki.
12	2KI.
12	2Kin.
12	2nd Kgs.
12	2nd Kings
12	II Kgs.
12	II Ki.
12	Second Kgs.
12	Second Kings
13	1 Ch.
13	1 Chr.
13	1 Chron.
13	1 Chronicles
13	1Ch.
13	1CH.
13	1Chr.
13	1Chron.
13	1st Chron.
13	1st Chronicles
13	First Chron.
13	First Chronicles
13	I Ch.
13	I Chr.
13	I Chron.
14	2 Ch.
14	2 Chr.
14	2 Chron.
14	2 Chronicles
14	2Ch.
14	2CH.
14	2Chr.
14	2Chron.
14	2nd Chron.
14	2nd Chronicles
14	II Ch.
14	II Chr.
14	II Chron.
14	Second Chron.
14	Second Chronicles
15	Ez.
15	Ezr.
15	EZR.
15	Ezra
16	Ne.
16	Neh.
16	NEH.
16	Nehemiah
17	Es.
17	Est.
17	EST.
17	Esth.
17	Esther
18	Jb.
18	Job
18	JOB
19	Ps.
19	Psa.
19	PSA.
19	Psalm
19	Psalms
19	Pslm.
19	Psm.
20	Pr.
20	Pro.
20	PRO.
20	Prov.
20	Proverbs
20	Prv.
21	Ec.
21	Ecc.
21	ECC.
21	Eccl.
21	Eccle.
21	Eccles.
21	Ecclesiastes
21	Qoh.
22	Cant.
22	Canticle of Canticles
22	Canticles
22	Sng.
22	SNG.
22	So.
22	Son.
22	Song
22	Song of Solomon
22	Song of Songs
22	SOS.
23	Is.
23	Isa.
23	ISA.
23	Isaiah
24	Je.
24	Jer.
24	JER.
24	Jeremiah
24	Jr.
25	La.
25	Lam.
25	LAM.
25	Lamentations
26	Eze.
26	Ezek.
26	Ezekiel
26	Ezk.
26	EZK.
27	Da.
27	Dan.
27	DAN.
27	Daniel
27	Dn.
28	Ho.
28	Hos.
28	HOS.
28	Hosea
29	Jl.
29	Joe.
29	Joel
29	Jol.
29	JOL.
30	Am.
30	Amo.
30	AMO.
30	Amos
31	Ob.
31	Oba.
31	OBA.
31	Obad.
31	Obadiah
32	Jnh.
32	Jon.
32	JON.
32	Jonah
33	Mc.
33	Mic.
33	MIC.
33	Micah
34	Na.
34	Nah.
34	Nahum
34	Nam.
34	NAM.
35	Hab.
35	HAB.
35	Habakkuk
35	Hb.
36	Zep.
36	ZEP.
36	Zeph.
36	Zephaniah
36	Zp.
37	Hag.
37	HAG.
37	Haggai
37	Hg.
38	Zc.
