number	e-Sword	BibleAnalyzer	MySword_theWord
1	Gen.	Gen.	Gen.
2	Exo.	Exo.	Exo.
3	Lev.	Lev.	Lev.
4	Num.	Num.	Num.
5	Deu.	Deu.	Deu.
6	Jos.	Jos.	Jos.
7	Jdg.	Jdg.	Jdg.
8	Rth.	Rth.	Rth.
9	1Sa.	1Sa.	1Sa.
10	2Sa.	2Sa.	2Sa.
11	1Ki.	1Ki.	1Ki.
12	2Ki.	2Ki.	2Ki.
13	1Ch.	1Ch.	1Ch.
14	2Ch.	2Ch.	2Ch.
15	Ezr.	Ezr.	Ezr.
16	Neh.	Neh.	Neh.
17	Est.	Est.	Est.
18	Job	Job	Job
19	Psa.	Psa.	Psa.
20	Pro.	Pro.	Pro.
21	Ecc.	Ecc.	Ecc.
22	Son.	Son.	Son.
23	Isa.	Isa.	Isa.
24	Jer.	Jer.	Jer.
25	Lam.	Lam.	Lam.
26	Eze.	Eze.	Eze.
27	Dan.	Dan.	Dan.
28	Hos.	Hos.	Hos.
29	Joe.	Joe.	Joe.
30	Amo.	Amo.	Amo.
31	Oba.	Oba.	Oba.
32	Jon.	Jon.	Jon.
33	Mic.	Mic.	Mic.
34	Nah.	Nah.	Nah.
35	Hab.	Hab.	Hab.
36	Zep.	Zep.	Zep.
37	Hag.	Hag.	Hag.
38	Zec.	Zec.	Zec.
39	Mal.	Mal.	Mal.
40	Mat.	Mat.	Mat.
41	Mar.	Mar.	Mar.
42	Luk.	Luk.	Luk.
43	Joh.	Joh.	Joh.
44	Act.	Act.	Act.
45	Rom.	Rom.	Rom.
46	1Co.	1Co.	1Co.
47	2Co.	2Co.	2Co.
48	Gal.	Gal.	Gal.
49	Eph.	Eph.	Eph.
50	Php.	Phi.	Phi.
51	Col.	Col.	Col.
52	1Th.	1Th.	1Th.
53	2Th.	2Th.	2Th.
54	1Ti.	1Ti.	1Ti.
55	2Ti.	2Ti.	2Ti.
56	Tit.	Tit.	Tit.
57	Phm.	Phm.	Phm.
58	Heb.	Heb.	Heb.
59	Jas.	Jam.	Jas.
60	1Pe.	1Pe.	1Pe.
61	2Pe.	2Pe.	2Pe.
62	1Jn.	1Jo.	1Jn.
63	2Jn.	2Jo.	2Jn.
64	3Jn.	3Jo.	3Jn.
65	Jud.	Jud.	Jud.
66	Rev.	Rev.	Rev.
76	1Es.		
77	2Es.		
88	Tob.		
80	Jdt.		
81	1Ma.		
82	2Ma.		
83	3Ma.		
84	4Ma.		
85	Man.		
89	Wis.		
87	Sir.		
70	Bar.		
