72	The Song of the Three Holy Children
72	Song of the Three Holy Children
92	Epistle to the Laodiceans
72	The Song of Three Youths
72	Song of Three Children
72	The Song of Three Jews
22	Canticle of Canticles
92	Epistle to Laodiceans
53	Second Thessalonians
72	Song of Three Youths
52	First Thessalonians
71	Additions to Daniel
78	Additions to Esther
47	Second Corinthians
66	Apocalypse of John
66	Revelation to John
73	Bel and the Dragon
72	Song of Three Jews
78	The Rest of Esther
79	Letter of Jeremiah
85	Prayer of Manasseh
85	Prayer of Manasses
92	Epistle Laodiceans
14	Second Chronicles
46	First Corinthians
52	1st Thessalonians
53	2nd Thessalonians
72	Prayer of Azariah
72	Prayer of Azariah
89	Wisdom of Solomon
90	Psalms of Solomon
92	Epist. Laodiceans
13	First Chronicles
53	II Thessalonians
72	Sg. of 3 Childr.
82	Second Maccabees
84	Fourth Maccabees
86	Additional Psalm
22	Song of Solomon
46	1st Corinthians
47	2nd Corinthians
52	1 Thessalonians
52	I Thessalonians
53	2 Thessalonians
81	First Maccabees
83	Third Maccabees
13	1st Chronicles
14	2nd Chronicles
47	II Corinthians
52	1Thessalonians
53	2Thessalonians
55	Second Timothy
66	The Revelation
78	Rest of Esther
87	Ecclesiasticus
90	Psalms Solomon
10	Second Samuel
14	Second Chron.
22	Song of Songs
46	1 Corinthians
46	I Corinthians
47	2 Corinthians
53	Second Thess.
54	First Timothy
72	Song of Three
77	Second Esdras
81	1st Maccabees
82	2nd Maccabees
83	3rd Maccabees
83	III Maccabees
84	4th Maccabees
89	Wisd. of Sol.
09	First Samuel
12	Second Kings
13	1 Chronicles
13	First Chron.
14	2 Chronicles
21	Ecclesiastes
25	Lamentations
46	1Corinthians
47	2Corinthians
52	First Thess.
61	Second Peter
72	Song of Thr.
76	First Esdras
82	II Maccabees
84	IV Maccabees
05	Deuteronomy
10	Second Sam.
11	First Kings
12	Second Kgs.
50	Philippians
54	1st Timothy
55	2nd Timothy
55	Second Tim.
60	First Peter
63	Second John
73	Bel and Dr.
81	1 Maccabees
81	I Maccabees
82	2 Maccabees
83	3 Maccabees
84	4 Maccabees
85	Pr. of Man.
90	Ps. Solomon
09	1st Samuel
09	First Sam.
10	2nd Samuel
11	First Kgs.
13	1st Chron.
14	2nd Chron.
51	Colossians
52	1st Thess.
53	2nd Thess.
54	First Tim.
55	II Timothy
62	First John
64	Third John
66	Revelation
76	1st Esdras
77	2nd Esdras
78	Add. Esth.
81	1Maccabees
82	2Maccabees
83	3Maccabees
84	4Maccabees
86	Add. Psalm
92	Laodiceans
03	Leviticus
11	1st Kings
12	2nd Kings
14	II Chron.
22	Canticles
36	Zephaniah
38	Zechariah
48	Galatians
49	Ephesians
53	II Thess.
54	1 Timothy
54	I Timothy
55	2 Timothy
60	1st Peter
61	2nd Peter
71	Add. Dan.
72	Pr. Azar.
72	Sg. Three
72	Song Thr.
77	II Esdras
79	Let. Jer.
79	Ltr. Jer.
83	III Macc.
92	Ep. Laod.
09	1 Samuel
09	1st Sam.
10	2 Samuel
10	2nd Sam.
11	1st Kgs.
12	2nd Kgs.
13	1 Chron.
13	I Chron.
14	2 Chron.
16	Nehemiah
20	Proverbs
24	Jeremiah
35	Habakkuk
52	1 Thess.
52	I Thess.
53	2 Thess.
53	II Thes.
54	1Timothy
54	1st Tim.
55	2Timothy
55	2nd Tim.
57	Philemon
61	II Peter
62	1st John
63	2nd John
64	3rd John
64	III Jhn.
64	III Joh.
64	III John
76	1 Esdras
76	1Esdras.
76	I Esdras
77	2 Esdras
77	II Esdr.
78	Add. Es.
78	AddEsth.
79	Ep. Jer.
82	II Macc.
83	III Mac.
84	IV Macc.
86	Add. Ps.
90	Ps. Sol.
92	Ep. Lao.
01	Genesis
04	Numbers
10	II Sam.
11	1 Kings
12	2 Kings
12	II Kgs.
13	1Chron.
14	2Chron.
14	II Chr.
21	Eccles.
26	Ezekiel
31	Obadiah
39	Malachi
40	Matthew
47	II Cor.
50	Philip.
52	1 Thes.
52	1Thess.
52	I Thes.
53	2 Thes.
53	2Thess.
55	II Tim.
57	Philem.
58	Hebrews
60	1 Peter
60	I Peter
61	2 Peter
61	II Pet.
63	II Jhn.
63	II Joh.
63	II John
64	III Jn.
64	III Jo.
71	AddDan.
72	PrAzar.
72	Azariah
72	Pr. Az.
75	Susanna
76	1 Esdr.
76	I Esdr.
77	2 Esdr.
77	2Esdras
77	II Esd.
81	1 Macc.
81	I Macc.
82	2 Macc.
82	II Mac.
83	3 Macc.
83	III Ma.
84	4 Macc.
84	IV Mac.
85	Pr. Man
87	Ecclus.
90	PssSol.
02	Exodus
06	Joshua
07	Judges
09	1 Sam.
09	I Sam.
